ScdUht-pM6s_53_63.avi,a man is a lemon hat bottle
wkgGxsuNVSg_34_41.avi,a woman is playing with a rabbit
BtQtRGI0F2Q_15_20.avi,a man is riding a bicycle
k06Ge9ANKM8_5_16.avi,a person is <unk> a ball
sZf3VDsdDPM_107_114.avi,a man is singing
shPymuahrsc_5_12.avi,a dog is on a <unk>
XOAgUVVwKEA_8_20.avi,a baby is on a baby
ufFT2BWh3BQ_0_8.avi,a panda is laying on a tower
5YJaS2Eswg0_22_26.avi,a man is riding a motorcycle
lw7pTwpx0K0_38_48.avi,a man is a a box
UbmZAe5u5FI_132_141.avi,a woman is <unk> a piece of fish
xCFCXzDUGjY_5_9.avi,a man is jumping into a <unk>
He7Ge7Sogrk_47_70.avi,a man is firing a gun
tJHUH9tpqPg_113_118.avi,a man is a cup in a sink
n016q1w8Q30_2_11.avi,a man is cutting an onion
RjpbFlOHFps_8_25.avi,a girl is <unk>
6JnGBs88sL0_4_10.avi,a man is putting a <unk>
EpMuCrbxE8A_107_115.avi,a man is playing a guitar
HAjwXjwN9-A_16_24.avi,two little boy are riding a soccer
4xVGpDmA4lE_23_33.avi,a man is running on a field
k5OKBX2e7xA_19_32.avi,a man is riding a horse
Jag7oTemldY_12_25.avi,a man is walking
8MVo7fje_oE_125_130.avi,a man is eating pasta
bqMmyY1ImkI_0_14.avi,a man is on a <unk> wheel
jTnrm338_KY_34_42.avi,a man is a glass of food
UdcObAQ5OOM_15_30.avi,a little boy is riding a <unk>
4PcL6-mjRNk_11_18.avi,a dog is playing with a toy
3qqEKTPxLNs_1_15.avi,a baby is with a person's
glrijRGnmc0_211_215.avi,a dog is eating out of a water
q7pOFn8s4zc_263_273.avi,a man is talking to a woman
mtrCf667KDk_134_176.avi,a man is peeling a piece of food
0lh_UWF9ZP4_62_69.avi,a woman is adding ingredients to a bowl
JntMAcTlOF0_50_70.avi,a man is walking
7NNg0_n-bS8_21_30.avi,a man is singing and singing
IhwPQL9dFYc_124_129.avi,a woman is putting a block of tofu
BAf3LXFUaGs_28_38.avi,a man is playing a guitar
6q1dX6thX3E_286_295.avi,a man is singing
RZL9irxnhZ0_34_40.avi,a man is <unk> a <unk>
WWf0Z6ak3Dg_5_15.avi,a cat is riding a <unk>
PeUHy0A1GF0_114_121.avi,a woman is placing some shrimp
klteYv1Uv9A_27_33.avi,a man is riding a motorcycle
e-j59PqJjSM_405_416.avi,a man is adding water to a bowl
778mkceE0UQ_40_46.avi,a car is running
77iDIp40m9E_126_131.avi,a goat is riding on a street
e-j59PqJjSM_50_98.avi,a man is cutting a red onion
Dgf0VHMEtNs_57_66.avi,a man is <unk> a <unk>
f9Won2JpOEU_60_80.avi,a cat is watching its tail
dfOuTx66bJU_34_39.avi,a couple are walking
04Gt01vatkk_248_265.avi,a woman is using a knife
rl1rVk_xIOs_1_16.avi,a baby and a baby
v7iIZXtpIb8_5_15.avi,a man is playing a piano
DhwrBs96Kgk_120_124.avi,a monkey is running on a field
qLwgb3F0aPU_298_305.avi,a man is dancing
qeKX-N1nKiM_0_5.avi,a person is mixing some ingredients in a bowl
1Sp2__RCT0c_11_15.avi,a woman is <unk> a bubble
Fe4tO5vW9_E_64_70.avi,a person is adding water to a bowl
mmSQTI6gMNQ_120_128.avi,two women are dancing
HV12kTtdTT4_5_14.avi,a man is playing with a chair
0lh_UWF9ZP4_27_31.avi,a woman is slicing a potato
Je3V7U5Ctj4_569_576.avi,a man is a bowl of a bowl
30GeJHYoerk_121_126.avi,an army is <unk> down a street
04Gt01vatkk_308_321.avi,a man is mixing a handful of food
zulPFoY64wE_26_33.avi,a girl is walking
MrQd1zUVRUM_103_110.avi,a monkey is <unk> a woman's animal
xxHx6s_DbUo_216_222.avi,a man is riding a <unk>
71soiLO6I9U_15_24.avi,a person is a a stick
UXs3eq68ZjE_250_255.avi,a man is adding sauce to a pot
jbzaMtPYtl8_48_58.avi,a man is walking
8HB7ywgJuTg_131_142.avi,a person is cooking a mixture of a mixture
Cjf21Y19aUQ_82_86.avi,a man is playing a microphone
qvg9eM4Hmzk_4_10.avi,a little girl is up a car
5HAf_INrFy0_3_25.avi,a young man is walking on a <unk>
YmXCfQm0_CA_277_284.avi,a person is <unk> a piece of fish
88DOMJ11q2M_84_87.avi,a woman is riding a horse
NUYu9c9XsgY_7_21.avi,a man is playing a
N3A7944_UJw_63_70.avi,a man is a <unk> of a large stick
uJPupV4oLZ0_4_12.avi,a baby is playing with a baby
cnsjm3fNEec_4_10.avi,a man is talking to a woman
J_evFB7RIKA_104_120.avi,a woman is cutting a garlic
g1Gldu1KS44_8_14.avi,a monkey is licking a lawn
s1ZABV7AQdA_38_48.avi,a group of people are riding a <unk>
tcxhOGyrCtI_15_21.avi,a dog is walking on a mirror
inzk2fTUe1w_1_15.avi,a person is riding a <unk>
j2Dhf-xFUxU_13_20.avi,a woman is mixing a
MTjrZthHwJQ_2_11.avi,a woman is running into a water
J---aiyznGQ_0_6.avi,a man is playing a piano
ZbtpcGi2DWY_161_170.avi,a polar bear is walking
RSx5G0_xH48_12_17.avi,a kitten is playing with a ball
ecm9gf2Pgkc_1_24.avi,a cat is getting a piece of paper
pW9DFPqoIsI_26_50.avi,a woman is <unk> a piece of food
N2Cm0SLr0ZE_18_29.avi,a kid is playing a guitar
sJSmRik2c-c_1_7.avi,a train is moving down a street
zv2RIbUsnSw_335_341.avi,a man is a a animal
aM-RcQj0a7I_37_55.avi,a person is cooking a water
TZ860P4iTaM_15_28.avi,a cat is playing with a piano
lo4KcsBN--A_0_10.avi,a frog is jumping out of a fence
u4T76jsPin0_0_11.avi,a group of men are riding a track
7HcYJKMxpcg_20_28.avi,a black is running through the yard
CGllPWAwmUo_1_15.avi,a baby is playing a guitar
WTf5EgVY5uU_124_128.avi,a woman is adding ingredients into a skillet
